symbol,split,flow_type,horizon_seconds,rows,response_bps,mean_return_bps,abs_signed_flow_musd
ethusdt,train,binance_trade_flow,5,388873670,-0.12631572184586368,-0.18867883854563927,723791.2332294674
ethusdt,train,binance_trade_flow,10,388865445,-0.21142820805352325,-0.1862873810910492,723762.2329883461
ethusdt,train,binance_trade_flow,30,388833967,-0.26319548566277606,-0.16219755762226204,723689.4446791897
ethusdt,train,binance_trade_flow,60,388821469,-0.3510930550666069,-0.14692358557586724,723633.1782106196
ethusdt,train,binance_trade_flow,120,388824458,-0.47229057293218646,-0.09619061321782715,723631.7122573428
ethusdt,train,binance_trade_flow,300,388810681,-0.09173888277444342,-0.06685289872481696,723591.6539689066
ethusdt,train,binance_liquidation_flow,1,76627,3.907215750216738,-0.013129702423452315,866.2406783101302
ethusdt,train,binance_liquidation_flow,5,76627,2.407221068653663,0.008384845369026204,866.2406783101302
ethusdt,train,binance_liquidation_flow,10,76625,3.53309596578132,0.08099883565213414,866.2286594581902
ethusdt,train,binance_liquidation_flow,30,76613,0.6327959208133781,0.17674094309897054,866.1337918309302
ethusdt,train,binance_liquidation_flow,60,76606,-0.4425581769472289,0.3609861643487067,866.1166693574102
ethusdt,train,binance_liquidation_flow,120,76608,-4.731467382545272,0.2603990120525866,866.1316076103502
ethusdt,train,binance_liquidation_flow,300,76587,-0.9088927216144052,-0.6868710497357788,865.9472384782403
ethusdt,train,bybit_liquidation_flow,1,97115,1.3880731805624935,-0.7922198954793293,1117.2558144111995
ethusdt,train,bybit_liquidation_flow,5,97115,0.7500487490214361,-0.0541465581228777,1117.2558144111995
ethusdt,train,bybit_liquidation_flow,10,97074,-3.0803441582426383,3.2397731454626713,1116.7885482683996
ethusdt,train,bybit_liquidation_flow,30,97051,-2.6276399666714814,2.587647757103122,1116.6585358908
ethusdt,train,bybit_liquidation_flow,60,97040,-9.127575248668597,9.281009430945113,1116.6007486368999
ethusdt,train,bybit_liquidation_flow,120,97040,-15.3729427889868,15.123855465719794,1116.6007486368999
ethusdt,train,bybit_liquidation_flow,300,97022,-14.696476806738927,12.842358184618568,1115.8489873062001
ethusdt,validation,binance_trade_flow,1,316872881,-0.10609717547670991,-0.16609239245472948,373805.7281534729
ethusdt,validation,binance_trade_flow,5,316873584,-0.2299024678979928,-0.18632928437202387,373806.37493449886
ethusdt,validation,binance_trade_flow,10,316872582,-0.2797151030992425,-0.1984193239737015,373804.46255512134
ethusdt,validation,binance_trade_flow,30,316871262,-0.32428137501366977,-0.14848031303188833,373802.9786856317
ethusdt,validation,binance_trade_flow,60,316867963,-0.15383352245879833,-0.13144113066955446,373795.5287699232
ethusdt,validation,binance_trade_flow,120,316872148,0.048032315533755886,-0.17053698187725008,373799.0765529133
ethusdt,validation,binance_trade_flow,300,316867552,0.47631274628464665,-0.09590690664874095,373794.47542213724
ethusdt,validation,binance_liquidation_flow,1,55135,1.0371047304258456,0.00587175137577207,443.21464710392013
ethusdt,validation,binance_liquidation_flow,5,55135,1.085664225266251,0.14419995109054634,443.21464710392013
ethusdt,validation,binance_liquidation_flow,10,55134,0.6771177226873011,0.20954630679767353,443.21449853810014
ethusdt,validation,binance_liquidation_flow,30,55134,-0.3286467205500578,0.23737791596836996,443.2084262698401
ethusdt,validation,binance_liquidation_flow,60,55131,-1.149222546761891,-0.021115446274186107,443.2127976159601
ethusdt,validation,binance_liquidation_flow,120,55129,0.05328576842941795,-0.20215056117795416,443.21064025822005
ethusdt,validation,binance_liquidation_flow,300,55135,-0.4840527426755594,-0.652346574580856,443.21464710392013
ethusdt,validation,bybit_liquidation_flow,1,63098,0.04925080093913364,0.14256425931246378,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,5,63098,-3.6740915198843886,2.1112625308063167,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,10,63098,-3.6092158624737785,2.080546266832187,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,30,63098,-3.9308270646829953,3.7897294068202867,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,60,63098,-7.798221647058703,3.908115811924503,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,120,63092,-11.374267094828028,4.808452101967591,528.8279731777
ethusdt,validation,bybit_liquidation_flow,300,63098,-12.028827699450911,3.277861029435577,528.8665026122999
