split,date,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,2025-12-10,btcusdt,buy,30,2080805,6521619707.039902,0.13536599275840608,-0.22549615926310698
train,2025-12-10,btcusdt,sell,30,2151080,6949086979.3474,-0.48072986556899866,-0.5358647742201992
train,2025-12-10,btcusdt,buy,60,2080805,6521619707.039902,0.2414718739296904,-0.07787499053759413
train,2025-12-10,btcusdt,sell,60,2151080,6949086979.3474,-0.6857866156388236,-0.6065270853640978
train,2025-12-10,btcusdt,buy,120,2080805,6521619707.039902,0.6653594646446576,0.13453678836532332
train,2025-12-10,btcusdt,sell,120,2151080,6949086979.3474,-0.9462767691793651,-0.8048242548685718
train,2025-12-10,btcusdt,buy,300,2080805,6521619707.039902,0.6735340017842135,-0.0926449228744118
train,2025-12-10,btcusdt,sell,300,2151080,6949086979.3474,-0.8876615383122531,-0.5485749225875464
train,2025-12-11,btcusdt,buy,1,2410833,7709880235.6304,-0.1611364120673806,-0.1932113624202394
train,2025-12-11,btcusdt,sell,1,2394488,7993436944.790299,-0.06929119088375511,-0.15011082350448002
train,2025-12-11,btcusdt,buy,5,2410833,7709880235.6304,-0.343036122484452,-0.32337739395124215
train,2025-12-11,btcusdt,sell,5,2394488,7993436944.790299,-0.08463301680560936,-0.2066950045102942
train,2025-12-11,btcusdt,buy,10,2410833,7709880235.6304,-0.49241311830037093,-0.4544987047707917
train,2025-12-11,btcusdt,sell,10,2394488,7993436944.790299,-0.026594425992239466,-0.22280903424541001
train,2025-12-11,btcusdt,buy,30,2410833,7709880235.6304,-0.7184861821560344,-0.5738390518573155
train,2025-12-11,btcusdt,sell,30,2394488,7993436944.790299,0.1370657617060052,-0.11164301226773352
train,2025-12-11,btcusdt,buy,60,2410833,7709880235.6304,-0.6744293942732722,-0.560754039500159
train,2025-12-11,btcusdt,sell,60,2394488,7993436944.790299,0.3775492971903233,0.03718754195525384
train,2025-12-11,btcusdt,buy,120,2410833,7709880235.6304,-0.8936542738562182,-0.623947597788421
train,2025-12-11,btcusdt,sell,120,2394488,7993436944.790299,0.7387532142356764,0.3108941123737493
train,2025-12-11,btcusdt,buy,300,2410833,7709880235.6304,-0.6718399470734617,-0.5439751509190683
train,2025-12-11,btcusdt,sell,300,2394488,7993436944.790299,0.07459156557286872,-0.10374876544802548
train,2025-12-12,btcusdt,buy,1,1850211,5974417015.4145,0.03687048609482604,-0.07204784787429573
train,2025-12-12,btcusdt,sell,1,1906119,6227468594.7658,-0.03915579941051563,-0.12033350422958959
