asof_mode,split,date,symbol,side,price_location,rows,share_within_side
same_timestamp_allowed,train,2025-12-04,btcusdt,buy,inside_spread,4405,0.0021281745673235103
strictly_previous_bbo,train,2025-12-04,btcusdt,buy,inside_spread,4433,0.002141702124164613
same_timestamp_allowed,train,2025-12-04,btcusdt,buy,at_bid,1444,0.0006976354313768782
strictly_previous_bbo,train,2025-12-04,btcusdt,buy,at_bid,1468,0.0007092304800978235
same_timestamp_allowed,train,2025-12-04,btcusdt,buy,below_bid,21660,0.010464531470653174
strictly_previous_bbo,train,2025-12-04,btcusdt,buy,below_bid,22340,0.010793057851079958
same_timestamp_allowed,train,2025-12-04,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-04,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-04,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-04,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-04,btcusdt,sell,above_ask,22268,0.010633923783208925
strictly_previous_bbo,train,2025-12-04,btcusdt,sell,above_ask,22921,0.010945759252511756
same_timestamp_allowed,train,2025-12-04,btcusdt,sell,at_ask,2077,0.0009918564620857255
strictly_previous_bbo,train,2025-12-04,btcusdt,sell,at_ask,2123,0.0010138234323582068
same_timestamp_allowed,train,2025-12-04,btcusdt,sell,inside_spread,4584,0.002189056341935949
strictly_previous_bbo,train,2025-12-04,btcusdt,sell,inside_spread,4656,0.0022234394258407023
same_timestamp_allowed,train,2025-12-04,btcusdt,sell,at_bid,811832,0.38768455239671584
strictly_previous_bbo,train,2025-12-04,btcusdt,sell,at_bid,804778,0.38431596525971407
same_timestamp_allowed,train,2025-12-04,btcusdt,sell,below_bid,1253287,0.5984982233018935
strictly_previous_bbo,train,2025-12-04,btcusdt,sell,below_bid,1259570,0.6014986249154153
same_timestamp_allowed,train,2025-12-04,btcusdt,sell,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-04,btcusdt,sell,outside_or_ambiguous,0,0.0
