split,symbol,side,venue,window_seconds,signed_liq_bucket,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
validation,btcusdt,sell,bybit,10,neg_1e5,30,2207953,7642113117.694213,1.7914054697536872,1.2000481877527043
validation,btcusdt,buy,bybit,30,neg_1e1,30,409226,887079226.2651998,-0.15531810892689843,-0.5206123911964476
validation,btcusdt,buy,bybit,30,neg_1e5,30,3338412,8665853819.130512,0.3206708855637221,0.20249787232037147
validation,btcusdt,sell,bybit,30,neg_1e1,30,424312,980082800.1805993,-0.7117516290195035,-0.5089899434580055
validation,btcusdt,sell,bybit,30,neg_1e5,30,3799137,11824370158.851608,-0.08354987231374231,-0.3408856562351817
validation,btcusdt,buy,bybit,60,neg_1e1,30,526961,1059726698.1256996,-1.6403928215486476,-1.6462671588714635
validation,btcusdt,buy,bybit,60,neg_1e5,30,4794835,11979695063.823606,0.31738119958926014,0.3861896519510104
validation,btcusdt,sell,bybit,60,neg_1e1,30,519914,1108952028.8104994,0.20662990833239134,0.47721004923321275
validation,btcusdt,sell,bybit,60,neg_1e5,30,5291583,15350329339.868393,-0.07976443512733028,-0.49586893935031834
validation,btcusdt,buy,bybit,120,neg_1e1,30,636920,1257136795.1878004,-0.6675995432423787,-0.5519702498871837
validation,btcusdt,buy,bybit,120,neg_1e5,30,6789100,16375589150.627518,0.13363407005860908,0.05889435402355113
validation,btcusdt,sell,bybit,120,neg_1e1,30,643703,1273152655.2544994,-0.037511972397540436,-0.07704135781804558
validation,btcusdt,sell,bybit,120,neg_1e5,30,7236981,19695112803.21778,0.10041128896181672,-0.2156258272607471
validation,btcusdt,buy,bybit,300,neg_1e1,30,748663,1495904678.8463001,-0.17842084527609736,-0.1433209460687295
validation,btcusdt,buy,bybit,300,neg_1e5,30,10708181,24124452610.80387,-0.2500801252050086,-0.11828969054603565
validation,btcusdt,sell,bybit,300,neg_1e1,30,758321,1572742041.1130998,-0.7195834193327595,-0.6116646221919654
validation,btcusdt,sell,bybit,300,neg_1e5,30,11043187,27281979208.747337,0.0029506300305535424,-0.2936613059388059
validation,btcusdt,buy,binance,1,neg_1e5,120,66988,188098579.6251001,1.17873043442694,0.5792271703265603
validation,btcusdt,sell,binance,1,neg_1e5,120,109089,388796580.97530013,-1.5392022312974056,-1.6776849170498713
validation,btcusdt,buy,binance,5,neg_1e5,120,349375,924515973.9041995,-1.1077805003155852,-0.42295237644609135
validation,btcusdt,sell,binance,5,neg_1e5,120,461036,1520715422.915202,-0.09880555307087699,-0.2746536500870682
validation,btcusdt,buy,binance,10,neg_1e5,120,714045,1875576568.6937983,-1.285329240885648,-0.7506927705611532
validation,btcusdt,sell,binance,10,neg_1e5,120,886583,2889039984.841796,1.4842999045788887,0.5110962162030387
validation,btcusdt,buy,binance,30,neg_1e5,120,2219459,5720644904.968187,-0.07227105274440523,0.6620551644522069
validation,btcusdt,sell,binance,30,neg_1e5,120,2577676,8013936604.410495,-0.004367495041568187,-0.8024364244710877
validation,btcusdt,buy,binance,60,neg_1e5,120,4409461,10986599524.417658,0.3191813097705733,0.9818610318687286
validation,btcusdt,sell,binance,60,neg_1e5,120,4945429,14500228829.47615,-0.8966814626785835,-1.3391116269708188
validation,btcusdt,buy,binance,120,neg_1e5,120,8066800,19509817064.87014,0.301715892665291,0.6117042922098508
validation,btcusdt,sell,binance,120,neg_1e5,120,8715570,23991652265.461655,-0.6794225726495783,-0.946903922047309
validation,btcusdt,buy,binance,300,neg_1e1,120,176413,323847009.94159985,-0.4628445283223864,-0.03176559104320261
validation,btcusdt,buy,binance,300,neg_1e5,120,15151400,35028044846.65153,0.07359667138067723,0.45997462853463456
validation,btcusdt,sell,binance,300,neg_1e1,120,174896,330511568.17010003,-1.552379122309538,-1.0611088528381754
validation,btcusdt,sell,binance,300,neg_1e5,120,15737870,40147248677.758606,-0.5427982817395967,-0.9294593822492819
validation,btcusdt,buy,bybit,1,neg_1e1,120,119304,296875847.65360016,1.8496854091081198,0.9183155015437692
validation,btcusdt,sell,bybit,1,neg_1e1,120,164365,480225104.3486,-2.4065881942593728,-2.8988694694595867
validation,btcusdt,buy,bybit,5,neg_1e1,120,211654,506172482.6016002,2.0040222592641945,3.0085207929978743
validation,btcusdt,buy,bybit,5,neg_1e5,120,1222037,3469086872.8841968,-0.5925977129149982,-0.302954658939525
