split,date,symbol,side,price_location,rows,share_within_side
train,2025-12-09,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-09,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-10,btcusdt,buy,above_ask,1212927,0.5829123824673624
train,2025-12-10,btcusdt,buy,at_ask,833408,0.4005219133940951
train,2025-12-10,btcusdt,buy,inside_spread,8449,0.004060447759400809
train,2025-12-10,btcusdt,buy,at_bid,1873,0.0009001324006814671
train,2025-12-10,btcusdt,buy,below_bid,24148,0.01160512397846026
train,2025-12-10,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-10,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-10,btcusdt,sell,above_ask,24047,0.011179035647209774
train,2025-12-10,btcusdt,sell,at_ask,1884,0.0008758391133756066
train,2025-12-10,btcusdt,sell,inside_spread,8227,0.0038245904382914627
train,2025-12-10,btcusdt,sell,at_bid,840504,0.3907358164270971
train,2025-12-10,btcusdt,sell,below_bid,1276418,0.5933847183740261
train,2025-12-10,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-10,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-11,btcusdt,buy,above_ask,1409692,0.5847323311071319
train,2025-12-11,btcusdt,buy,at_ask,965699,0.4005665261758073
train,2025-12-11,btcusdt,buy,inside_spread,6184,0.0025650884984567573
train,2025-12-11,btcusdt,buy,at_bid,2290,0.0009498791496549118
train,2025-12-11,btcusdt,buy,below_bid,26968,0.011186175068949197
train,2025-12-11,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-11,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-11,btcusdt,sell,above_ask,23706,0.009900237545562976
train,2025-12-11,btcusdt,sell,at_ask,1808,0.0007550674716265022
train,2025-12-11,btcusdt,sell,inside_spread,6357,0.0026548472992973865
train,2025-12-11,btcusdt,sell,at_bid,939735,0.3924575942748512
train,2025-12-11,btcusdt,sell,below_bid,1422882,0.5942322534086619
train,2025-12-11,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-11,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-12,btcusdt,buy,above_ask,1063226,0.5746512154559669
train,2025-12-12,btcusdt,buy,at_ask,758782,0.410105658219522
train,2025-12-12,btcusdt,buy,inside_spread,5592,0.003022357990521081
train,2025-12-12,btcusdt,buy,at_bid,1620,0.0008755758127046051
train,2025-12-12,btcusdt,buy,below_bid,20991,0.01134519252128541
train,2025-12-12,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-12,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-12,btcusdt,sell,above_ask,20632,0.010824088107825378
train,2025-12-12,btcusdt,sell,at_ask,1394,0.0007313289464089074
train,2025-12-12,btcusdt,sell,inside_spread,5715,0.0029982388297897455
train,2025-12-12,btcusdt,sell,at_bid,777900,0.4081067341545832
train,2025-12-12,btcusdt,sell,below_bid,1100478,0.5773396099613928
train,2025-12-12,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-12,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-13,btcusdt,buy,above_ask,195564,0.4178575091449865
train,2025-12-13,btcusdt,buy,at_ask,270538,0.5780528870807836
train,2025-12-13,btcusdt,buy,inside_spread,365,0.0007798878670814673
train,2025-12-13,btcusdt,buy,at_bid,124,0.00026494820689890945
train,2025-12-13,btcusdt,buy,below_bid,1425,0.003044767700249564
train,2025-12-13,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-13,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-13,btcusdt,sell,above_ask,1128,0.002427335934255348
train,2025-12-13,btcusdt,sell,at_ask,118,0.0002539234399309673
train,2025-12-13,btcusdt,sell,inside_spread,437,0.0009403774851680736
train,2025-12-13,btcusdt,sell,at_bid,268438,0.5776500031202456
train,2025-12-13,btcusdt,sell,below_bid,194586,0.4187283600203999
train,2025-12-13,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-13,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-14,btcusdt,buy,above_ask,613444,0.5419174054848638
train,2025-12-14,btcusdt,buy,at_ask,503063,0.4444066544875034
train,2025-12-14,btcusdt,buy,inside_spread,4136,0.0036537489796711624
train,2025-12-14,btcusdt,buy,at_bid,929,0.0008206800778806843
train,2025-12-14,btcusdt,buy,below_bid,10416,0.009201510970080954
train,2025-12-14,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-14,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-14,btcusdt,sell,above_ask,11160,0.009324578033600232
train,2025-12-14,btcusdt,sell,at_ask,1024,0.0008555885220794477
train,2025-12-14,btcusdt,sell,inside_spread,4457,0.00372398246377744
train,2025-12-14,btcusdt,sell,at_bid,499159,0.41706514755142093
train,2025-12-14,btcusdt,sell,below_bid,681037,0.5690307034291219
train,2025-12-14,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-14,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-15,btcusdt,buy,above_ask,1437156,0.5773310676452511
train,2025-12-15,btcusdt,buy,at_ask,1002404,0.4026834745371207
train,2025-12-15,btcusdt,buy,inside_spread,10226,0.00410796566116715
train,2025-12-15,btcusdt,buy,at_bid,2654,0.001066158895436888
train,2025-12-15,btcusdt,buy,below_bid,36870,0.01481133326102414
train,2025-12-15,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-15,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-15,btcusdt,sell,above_ask,33298,0.013619398788087014
train,2025-12-15,btcusdt,sell,at_ask,2313,0.0009460528979772137
train,2025-12-15,btcusdt,sell,inside_spread,9537,0.003900781015135619
train,2025-12-15,btcusdt,sell,at_bid,923923,0.37789884637172555
train,2025-12-15,btcusdt,sell,below_bid,1475824,0.6036349209270746
train,2025-12-15,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-15,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-16,btcusdt,buy,above_ask,1270175,0.6085227438774039
train,2025-12-16,btcusdt,buy,at_ask,783240,0.37523912367550755
train,2025-12-16,btcusdt,buy,inside_spread,7021,0.003363661058329169
train,2025-12-16,btcusdt,buy,at_bid,1217,0.0005830473590637514
train,2025-12-16,btcusdt,buy,below_bid,25656,0.012291424029695651
train,2025-12-16,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-16,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-16,btcusdt,sell,above_ask,26477,0.012371718821768655
train,2025-12-16,btcusdt,sell,at_ask,1917,0.0008957429082347136
train,2025-12-16,btcusdt,sell,inside_spread,7070,0.0033035484409073682
train,2025-12-16,btcusdt,sell,at_bid,819099,0.38273454376220434
train,2025-12-16,btcusdt,sell,below_bid,1285560,0.6006944460668849
train,2025-12-16,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-16,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-17,btcusdt,buy,above_ask,1777241,0.6130679250620057
train,2025-12-17,btcusdt,buy,at_ask,1041000,0.35909801202512653
train,2025-12-17,btcusdt,buy,inside_spread,17719,0.006112255211405588
train,2025-12-17,btcusdt,buy,at_bid,4432,0.0015288399512923734
train,2025-12-17,btcusdt,buy,below_bid,58538,0.02019296775016989
train,2025-12-17,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-17,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-17,btcusdt,sell,above_ask,59204,0.02053554612017131
train,2025-12-17,btcusdt,sell,at_ask,3559,0.0012344775461402891
train,2025-12-17,btcusdt,sell,inside_spread,17451,0.0060530676194701285
train,2025-12-17,btcusdt,sell,at_bid,1031999,0.3579599868331645
train,2025-12-17,btcusdt,sell,below_bid,1770788,0.6142169218810538
train,2025-12-17,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-17,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-18,btcusdt,buy,above_ask,1854517,0.6073994958745031
train,2025-12-18,btcusdt,buy,at_ask,1130713,0.3703360530956293
train,2025-12-18,btcusdt,buy,inside_spread,14092,0.004615473298903973
train,2025-12-18,btcusdt,buy,at_bid,4108,0.0013454700760642576
train,2025-12-18,btcusdt,buy,below_bid,49778,0.016303507654899373
train,2025-12-18,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-18,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-18,btcusdt,sell,above_ask,47596,0.015689645908333782
train,2025-12-18,btcusdt,sell,at_ask,3268,0.001077270418279578
train,2025-12-18,btcusdt,sell,inside_spread,15844,0.005222849604412985
train,2025-12-18,btcusdt,sell,at_bid,1126718,0.3714136998601988
train,2025-12-18,btcusdt,sell,below_bid,1840167,0.6065965342087749
train,2025-12-18,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-18,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-19,btcusdt,buy,above_ask,1562974,0.6113802324144093
