split,symbol,side,venue,window_seconds,liq_pressure_bucket,maker_vs_liq_pressure,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
validation,btcusdt,buy,binance,1,upward_pressure,same_direction_toxic_risk,30,4254335,13764809077.903996,0.5367012283717802,0.4716520117848097
validation,btcusdt,sell,binance,1,downward_pressure,same_direction_toxic_risk,30,5423530,17958882508.176468,2.239859490234202,1.5390622887813306
validation,btcusdt,sell,binance,1,no_pressure,none,30,86761101,179789159529.1166,-0.39335761443714484,-0.41829535638358695
validation,btcusdt,sell,binance,1,upward_pressure,opposite_direction,30,3241076,8115273903.844198,-0.23935498029020366,-0.5179200756318858
validation,btcusdt,buy,binance,5,downward_pressure,opposite_direction,30,9497513,23321879628.730297,-0.7417292079974392,-0.6016019925947721
validation,btcusdt,buy,binance,5,no_pressure,none,30,75510340,151305680123.28723,-0.2155405259180256,-0.21538983469345693
validation,btcusdt,buy,binance,5,upward_pressure,same_direction_toxic_risk,30,10062957,29786254926.671192,0.1778407728047355,0.14326883541485347
validation,btcusdt,sell,binance,5,downward_pressure,same_direction_toxic_risk,30,11822374,35706863403.64592,1.1641834441994177,0.6790600058471536
validation,btcusdt,sell,binance,5,no_pressure,none,30,75451435,151263889550.40677,-0.4488880031767845,-0.45172831000989594
validation,btcusdt,sell,binance,5,upward_pressure,opposite_direction,30,8151898,18892562987.084057,-0.3232640584207835,-0.4376631837392358
validation,btcusdt,buy,binance,10,downward_pressure,opposite_direction,30,13244600,31358810732.593143,-0.59155691377165,-0.4191411224532468
validation,btcusdt,buy,binance,10,no_pressure,none,30,68252816,134672179312.08981,-0.2358794883417298,-0.22840266565162448
validation,btcusdt,buy,binance,10,upward_pressure,same_direction_toxic_risk,30,13573394,38382824634.00569,0.14858498617117147,0.04452146291137227
validation,btcusdt,sell,binance,10,downward_pressure,same_direction_toxic_risk,30,15661885,45159418184.84686,0.8439934461476533,0.3765666115495641
validation,btcusdt,sell,binance,10,no_pressure,none,30,68173229,134604076728.9509,-0.4676347187307754,-0.45151720867474293
validation,btcusdt,sell,binance,10,upward_pressure,opposite_direction,30,11590593,26099821027.33941,-0.29146583457871855,-0.40891698945057947
validation,btcusdt,buy,binance,30,downward_pressure,opposite_direction,30,21579456,48735871986.44316,-0.32757770629885835,-0.1714094376652822
validation,btcusdt,buy,binance,30,no_pressure,none,30,52122650,100227609098.38554,-0.3235881356657432,-0.32879017316392045
validation,btcusdt,buy,binance,30,upward_pressure,same_direction_toxic_risk,30,21368704,55450333593.86015,0.06823107285192719,0.014046863666790943
validation,btcusdt,sell,binance,30,downward_pressure,same_direction_toxic_risk,30,24055894,63542797450.31906,0.3574851959375089,-0.06107162446818818
validation,btcusdt,sell,binance,30,no_pressure,none,30,51910533,100418760032.19247,-0.3804652336853883,-0.34741256525370773
validation,btcusdt,sell,binance,30,upward_pressure,opposite_direction,30,19459280,41901758458.62544,-0.40447598663504686,-0.5200464527551975
validation,btcusdt,buy,binance,60,downward_pressure,opposite_direction,30,27997166,61581337605.51747,-0.3540294568089656,-0.221806623798117
validation,btcusdt,buy,binance,60,no_pressure,none,30,39144572,74251530030.38391,-0.32437606367917593,-0.3288377221633868
validation,btcusdt,buy,binance,60,upward_pressure,same_direction_toxic_risk,30,27929072,68580947042.78738,0.018565097323597325,-0.052060645180235746
validation,btcusdt,sell,binance,60,downward_pressure,same_direction_toxic_risk,30,30376295,76145346606.72412,0.2429029434963388,-0.11764911502412463
validation,btcusdt,sell,binance,60,no_pressure,none,30,38864098,74390359393.23654,-0.3628416441872684,-0.34259337491307434
validation,btcusdt,sell,binance,60,upward_pressure,opposite_direction,30,26185314,55327609941.17647,-0.4327405654292524,-0.48633775305378846
validation,btcusdt,buy,binance,120,downward_pressure,opposite_direction,30,34849233,75093557574.19606,-0.37611680448879103,-0.26771049372202077
validation,btcusdt,buy,binance,120,no_pressure,none,30,25611951,48311059770.533,-0.2478551420777139,-0.28599290874494104
validation,btcusdt,buy,binance,120,upward_pressure,same_direction_toxic_risk,30,34609626,81009197333.9596,-0.0542620002157963,-0.11216048760928234
validation,btcusdt,sell,binance,120,downward_pressure,same_direction_toxic_risk,30,36708109,88002265292.06053,0.16877553207795953,-0.1519475763031367
validation,btcusdt,sell,binance,120,no_pressure,none,30,25545408,48967729130.2798,-0.40295515702017864,-0.38785711417838103
validation,btcusdt,sell,binance,120,upward_pressure,opposite_direction,30,33172190,68893321518.79677,-0.4000289470728523,-0.42618702818209775
validation,btcusdt,buy,binance,300,downward_pressure,opposite_direction,30,43146343,91315895448.34901,-0.30026244987985695,-0.23831983161285916
validation,btcusdt,buy,binance,300,no_pressure,none,30,10582621,20223813102.375393,-0.26890862937030213,-0.28891993500001223
validation,btcusdt,buy,binance,300,upward_pressure,same_direction_toxic_risk,30,41341846,92874106127.96408,-0.12658772963667086,-0.17406128636832477
validation,btcusdt,sell,binance,300,downward_pressure,same_direction_toxic_risk,30,44380054,102421774885.25919,0.023482514881173457,-0.2563454180141743
validation,btcusdt,sell,binance,300,no_pressure,none,30,10540964,20479298759.0567,-0.3301095674673075,-0.3449805165546519
validation,btcusdt,sell,binance,300,upward_pressure,opposite_direction,30,40504689,82962242296.8214,-0.33850581082937864,-0.36070349275308083
validation,btcusdt,buy,bybit,1,downward_pressure,opposite_direction,30,2975164,8286207127.894783,-1.5881961678931558,-1.449292010404917
validation,btcusdt,buy,bybit,1,no_pressure,none,30,89062238,185390488138.446,-0.23359384160347738,-0.2133339302451523
validation,btcusdt,buy,bybit,1,upward_pressure,same_direction_toxic_risk,30,3033408,10737119412.347406,1.103870013329238,0.9150448664644113
validation,btcusdt,sell,bybit,1,downward_pressure,same_direction_toxic_risk,30,4266058,14919907781.63198,2.431835426992046,1.8040080739321627
validation,btcusdt,sell,bybit,1,no_pressure,none,30,88989180,185074045343.0773,-0.3528011978781476,-0.40094543198815386
validation,btcusdt,sell,bybit,1,upward_pressure,opposite_direction,30,2170469,5869362816.427892,-0.5838637385711835,-0.7553350697440475
validation,btcusdt,buy,bybit,5,downward_pressure,opposite_direction,30,6380106,16516489170.074928,-1.0360459527603036,-0.9273929383519186
validation,btcusdt,buy,bybit,5,no_pressure,none,30,82492547,167836655761.13538,-0.24429569431160056,-0.21721252707892222
validation,btcusdt,buy,bybit,5,upward_pressure,same_direction_toxic_risk,30,6198157,20060669747.47847,0.6729485954075348,0.5322720260009767
validation,btcusdt,sell,bybit,5,downward_pressure,same_direction_toxic_risk,30,8183727,26500372164.287945,1.6079637929629158,1.0812538237945997
validation,btcusdt,sell,bybit,5,no_pressure,none,30,82383551,167163001628.2307,-0.41437027405531257,-0.43242449409873623
validation,btcusdt,sell,bybit,5,upward_pressure,opposite_direction,30,4858429,12199942148.618279,-0.4739983823341129,-0.5860442219923117
validation,btcusdt,buy,bybit,10,downward_pressure,opposite_direction,30,8873758,22185263972.82725,-0.6076839147409385,-0.5377751165249137
validation,btcusdt,buy,bybit,10,no_pressure,none,30,77861655,156380230397.80817,-0.2825257188213719,-0.24265627870358614
validation,btcusdt,buy,bybit,10,upward_pressure,same_direction_toxic_risk,30,8335397,25848320308.05326,0.5048393987916706,0.3754507953184681
validation,btcusdt,sell,bybit,10,downward_pressure,same_direction_toxic_risk,30,10800372,33411247926.98555,1.2043085718157192,0.691930793859285
