strategy,rows,final_pnl,pnl_volatility,max_drawdown,turnover,fill_count,buy_fills,sell_fills,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks,gamma,k,tau_seconds,max_inventory,quote_refresh_seconds,score
avellaneda_stoikov_mid,172790,-115.4405661499992,0.0586475809727656,129.48197469999928,587548.8488290001,7483,3746,3737,28747.0,59928.0,31799.489449620927,81.0063416302376,1e-6,0.025,60.0,50000.0,1.0,-128.3919435689441
avellaneda_stoikov_mid,172790,-116.78373049999983,0.0169073368539803,117.69967289999977,530949.8754437017,6754,3369,3385,-7396.0,54729.0,8776.40056137508,90.06566530495745,0.0001,0.025,180.0,50000.0,1.0,-128.55457543005593
avellaneda_stoikov_mid,172790,-116.78373049999983,0.0169073368539803,117.69967289999977,530949.8754437017,6754,3369,3385,-7396.0,54729.0,8776.40056137508,90.06544851288515,0.0001,0.025,180.0,100000.0,1.0,-128.55457543005593
avellaneda_stoikov_mid,172790,-115.31672179999788,0.09472705636049697,140.61965399999826,678692.9076655002,8658,4332,4326,35186.0,109790.0,52450.69832166213,81.13599153915887,0.00001,0.025,30.0,100000.0,2.0,-129.38393226982987
avellaneda_stoikov_mid,172790,-116.91662949999954,0.053844605136551066,128.0074295999995,507154.11431489955,6415,3209,3206,37920.0,59997.0,31187.434394351523,81.3240636415177,0.00001,0.025,60.0,50000.0,0.5,-129.72049120343894
avellaneda_stoikov_mid,172790,-115.32573164999889,0.10193563457174755,146.80155854999867,610393.8737761007,7777,3903,3874,33459.0,109749.0,56617.435366630016,81.01800665213901,1e-6,0.025,60.0,100000.0,5.0,-130.0115492485354
avellaneda_stoikov_mid,172790,-117.45775294999713,0.04271296448107887,125.6679624499977,618425.4795365994,7874,3933,3941,11331.0,59809.0,22971.558805486427,81.92644520583235,0.00001,0.025,180.0,50000.0,1.0,-130.02684635087746
avellaneda_stoikov_mid,172790,-116.9538293000002,0.058659312111790866,130.84874015000042,586842.1102958004,7475,3743,3732,21150.0,59970.0,31872.32330574686,81.00391681778993,1e-6,0.025,30.0,50000.0,1.0,-130.0418905473308
avellaneda_stoikov_mid,172790,-117.38003130000078,0.05867291714865229,128.60496000000057,493393.5587753994,6237,3121,3116,38202.0,59901.0,33634.708837316975,81.08614331473053,1e-6,0.025,180.0,50000.0,0.5,-130.24389077088458
avellaneda_stoikov_mid,172790,-116.40873014999602,0.08445405984416987,140.2396367499952,530684.2719834005,6715,3363,3352,72439.0,109546.0,52217.70834539036,81.31503729979025,0.00001,0.025,60.0,100000.0,0.5,-130.43791559583008
avellaneda_stoikov_mid,172790,-115.82169604999928,0.1027187620953313,148.33752794999924,609951.1055771996,7775,3903,3872,36909.0,109749.0,56713.16848775971,81.00241674082903,1e-6,0.025,30.0,100000.0,5.0,-130.66112016184798
avellaneda_stoikov_mid,172790,-118.2292616999972,0.06515701369450766,126.11504034999768,632551.4416841014,8058,4036,4022,-17024.0,109775.0,34840.85419873835,81.78818521688213,0.00001,0.025,180.0,100000.0,5.0,-130.84424982041685
