state,spread_state,imbalance_bucket,state_count,g1_ticks,adjustment_ticks
64,7,5,100,-0.3922430988172199,-0.3774186320778874
65,7,6,100,0.39224309881721986,0.37741863207788623
66,7,7,99,1.32547699214366,1.3876265156533791
67,7,8,103,0.8827389566900506,0.9207627351434785
68,7,9,123,1.0557049333842365,1.1109419483523515
69,7,10,153,1.2222222222222225,1.3168903675131642
70,8,1,94,-0.1490498746593571,-0.04551447699057108
71,8,2,78,-1.5192307692307692,-1.439820624662054
72,8,3,71,-0.5563380281690141,-0.6071459843871484
73,8,4,83,-0.5903614457831325,-0.6991986226749821
74,8,5,77,-0.37012987012987014,-0.2205039513041104
75,8,6,77,0.37012987012987014,0.2205039513041091
76,8,7,83,0.5903614457831325,0.6991986226749807
77,8,8,71,0.5563380281690141,0.6071459843871468
78,8,9,78,1.5192307692307692,1.4398206246620529
79,8,10,94,0.1490498746593571,0.04551447699056976
80,9,1,89,-0.23778305240955008,-0.3549397337521656
81,9,2,58,-1.2354768065087671,-1.142858837379649
82,9,3,51,-0.7201832699737918,-0.8395128375385711
83,9,4,48,0.020833333333333332,0.0
84,9,5,47,-0.03252293720159482,0.0
85,9,6,47,0.0325229372015948,0.0
86,9,7,48,-0.020833333333333332,0.0
87,9,8,51,0.7201832699737918,0.83951283753857
88,9,9,58,1.2354768065087678,1.1428588373796484
89,9,10,89,0.23778305240955,0.3549397337521646
90,10,1,48,-0.03125,0.0
91,10,2,37,-0.24324324324324326,0.0
92,10,3,36,-0.1527777777777778,0.0
93,10,4,35,-1.7,0.0
94,10,5,31,0.4838709677419355,0.0
95,10,6,31,-0.4838709677419355,0.0
96,10,7,35,1.7,0.0
97,10,8,36,0.1527777777777778,0.0
98,10,9,37,0.24324324324324326,0.0
99,10,10,48,0.03125,0.0
100,11,1,205,-0.08374187556903571,-0.0009062020938625727
101,11,2,132,-0.46616374951073,-0.5994636423239641
102,11,3,123,-1.0425412697203091,-1.1336155610326508
103,11,4,93,-0.36052234460725757,-0.2500986956662068
104,11,5,122,-0.6207588211114602,-0.596850305431304
105,11,6,122,0.6207588211114601,0.5968503054313027
106,11,7,93,0.36052234460725757,0.2500986956662059
107,11,8,123,1.04254126972031,1.1336155610326504
108,11,9,132,0.46616374951073003,0.5994636423239628
109,11,10,205,0.08374187556903563,0.0009062020938612614
