strategy,split,vol_window_seconds,vol_floor,sigma_multiplier,score,final_pnl,max_drawdown,turnover,fill_count,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks
avellaneda_stoikov_microprice,validation,600.0,0.1,0.5,-95.18005783197086,-85.68909715000103,94.88790735000097,387975.25585730094,4898,-1107.0,104728.0,21699.469697320448,83.20026520591097
avellaneda_stoikov_microprice,validation,600.0,0.05,0.5,-95.18005783197086,-85.68909715000103,94.88790735000097,387975.25585730094,4898,-1107.0,104728.0,21699.469697320448,83.20026520591097
avellaneda_stoikov_microprice,test,60.0,0.05,2.0,-100.08860617827915,-90.95711570000071,91.31215480000073,329277.3449223996,4724,5594.0,24973.0,2749.98278366865,183.08962100340332
avellaneda_stoikov_microprice,test,60.0,0.1,2.0,-100.08860617827915,-90.95711570000071,91.31215480000073,329277.3449223996,4724,5594.0,24973.0,2749.98278366865,183.08962100340332
avellaneda_stoikov_microprice,test,60.0,0.2,2.0,-100.08860617827915,-90.95711570000071,91.31215480000073,329277.3449223996,4724,5594.0,24973.0,2749.98278366865,183.08962100340332
avellaneda_stoikov_microprice,test,180.0,0.1,2.0,-110.06457318084277,-100.01051585000036,100.53790575000035,346057.8720856007,5008,-491.0,25999.0,2667.5584238186743,183.07367223855718
avellaneda_stoikov_microprice,test,180.0,0.05,2.0,-110.06457318084277,-100.01051585000036,100.53790575000035,346057.8720856007,5008,-491.0,25999.0,2667.5584238186743,183.07367223855718
avellaneda_stoikov_microprice,test,180.0,0.2,2.0,-110.06457318084277,-100.01051585000036,100.53790575000035,346057.8720856007,5008,-491.0,25999.0,2667.5584238186743,183.07367223855718
avellaneda_stoikov_microprice,test,600.0,0.05,2.0,-122.96758299069504,-111.7353137499998,112.32009524999985,347717.3535460001,4979,-541.0,27583.0,2597.1569525154537,183.12506656171138
avellaneda_stoikov_microprice,test,600.0,0.1,2.0,-122.96758299069504,-111.7353137499998,112.32009524999985,347717.3535460001,4979,-541.0,27583.0,2597.1569525154537,183.12506656171138
avellaneda_stoikov_microprice,test,600.0,0.2,2.0,-122.96758299069504,-111.7353137499998,112.32009524999985,347717.3535460001,4979,-541.0,27583.0,2597.1569525154537,183.12506656171138
avellaneda_stoikov_microprice,test,300.0,0.2,2.0,-123.08628129693717,-111.86153130000005,112.24485560000005,354048.7883224005,5107,2466.0,29101.0,2644.3693711944065,183.09102748130485
avellaneda_stoikov_microprice,test,300.0,0.1,2.0,-123.08628129693717,-111.86153130000005,112.24485560000005,354048.7883224005,5107,2466.0,29101.0,2644.3693711944065,183.09102748130485
avellaneda_stoikov_microprice,test,300.0,0.05,2.0,-123.08628129693717,-111.86153130000005,112.24485560000005,354048.7883224005,5107,2466.0,29101.0,2644.3693711944065,183.09102748130485
avellaneda_stoikov_microprice,test,60.0,0.2,1.0,-410.0007273518947,-372.62565470000027,373.74522750000006,1183943.439816393,17429,7462.0,36207.0,5499.018944041859,106.53730060426459
avellaneda_stoikov_microprice,test,60.0,0.1,1.0,-410.0007273518947,-372.62565470000027,373.74522750000006,1183943.439816393,17429,7462.0,36207.0,5499.018944041859,106.53730060426459
avellaneda_stoikov_microprice,test,60.0,0.05,1.0,-410.0007273518947,-372.62565470000027,373.74522750000006,1183943.439816393,17429,7462.0,36207.0,5499.018944041859,106.53730060426459
avellaneda_stoikov_microprice,test,180.0,0.05,1.0,-423.84953409935184,-385.19764119999746,386.5135279999978,1179100.627929898,17325,4290.0,37064.0,5400.993546407983,106.51621501169171
avellaneda_stoikov_microprice,test,180.0,0.1,1.0,-423.84953409935184,-385.19764119999746,386.5135279999978,1179100.627929898,17325,4290.0,37064.0,5400.993546407983,106.51621501169171
avellaneda_stoikov_microprice,test,180.0,0.2,1.0,-423.84953409935184,-385.19764119999746,386.5135279999978,1179100.627929898,17325,4290.0,37064.0,5400.993546407983,106.51621501169171
avellaneda_stoikov_microprice,test,300.0,0.2,1.0,-432.3803268557928,-392.97142455000136,394.0835903500016,1183641.4904543033,17401,-1279.0,38453.0,5432.70791274049,106.5283408191142
avellaneda_stoikov_microprice,test,300.0,0.05,1.0,-432.3803268557928,-392.97142455000136,394.0835903500016,1183641.4904543033,17401,-1279.0,38453.0,5432.70791274049,106.5283408191142
avellaneda_stoikov_microprice,test,300.0,0.1,1.0,-432.3803268557928,-392.97142455000136,394.0835903500016,1183641.4904543033,17401,-1279.0,38453.0,5432.70791274049,106.5283408191142
avellaneda_stoikov_microprice,test,600.0,0.05,1.0,-445.1693012216183,-404.6158185499999,405.5294792500001,1189384.4943125045,17483,-1123.0,34006.0,5347.466183756627,106.56053932350149
avellaneda_stoikov_microprice,test,600.0,0.1,1.0,-445.1693012216183,-404.6158185499999,405.5294792500001,1189384.4943125045,17483,-1123.0,34006.0,5347.466183756627,106.56053932350149
avellaneda_stoikov_microprice,test,600.0,0.2,1.0,-445.1693012216183,-404.6158185499999,405.5294792500001,1189384.4943125045,17483,-1123.0,34006.0,5347.466183756627,106.56053932350149
avellaneda_stoikov_microprice,test,60.0,0.05,0.5,-611.298318478607,-555.4443380500024,558.5282497000019,1734273.8486943108,25658,13131.0,78048.0,11554.586044034913,87.36377422267498
avellaneda_stoikov_microprice,test,60.0,0.1,0.5,-611.298318478607,-555.4443380500024,558.5282497000019,1734273.8486943108,25658,13131.0,78048.0,11554.586044034913,87.36377422267498
avellaneda_stoikov_microprice,test,60.0,0.2,0.5,-611.298318478607,-555.4443380500024,558.5282497000019,1734273.8486943108,25658,13131.0,78048.0,11554.586044034913,87.36377422267498
avellaneda_stoikov_microprice,test,180.0,0.1,0.5,-616.4769598529415,-560.1212435000014,563.5456614500015,1733121.768915406,25648,14066.0,76101.0,11502.079399439725,87.3679097307434
avellaneda_stoikov_microprice,test,180.0,0.2,0.5,-616.4769598529415,-560.1212435000014,563.5456614500015,1733121.768915406,25648,14066.0,76101.0,11502.079399439725,87.3679097307434
avellaneda_stoikov_microprice,test,180.0,0.05,0.5,-616.4769598529415,-560.1212435000014,563.5456614500015,1733121.768915406,25648,14066.0,76101.0,11502.079399439725,87.3679097307434
avellaneda_stoikov_microprice,test,300.0,0.05,0.5,-616.996988590404,-560.5734211500015,564.2241105000019,1741004.4587673189,25757,10069.0,77961.0,11563.904023800153,87.35765343921469
avellaneda_stoikov_microprice,test,300.0,0.1,0.5,-616.996988590404,-560.5734211500015,564.2241105000019,1741004.4587673189,25757,10069.0,77961.0,11563.904023800153,87.35765343921469
avellaneda_stoikov_microprice,test,300.0,0.2,0.5,-616.996988590404,-560.5734211500015,564.2241105000019,1741004.4587673189,25757,10069.0,77961.0,11563.904023800153,87.35765343921469
avellaneda_stoikov_microprice,test,600.0,0.2,0.5,-627.9759525693252,-570.5642647500001,574.1054431000003,1739466.2917456015,25722,10571.0,73069.0,11435.093250063668,87.35868948672238
